subvectors,code_size,attention_lr,attention_heads,ar,bn,en,es,fa,fi,fr,hi,id,ja,ko,ru,sw,te,th,zh,avg_ndcg,bias_ratio
256,64,1e-9,16,0.7186,0.709,0.6882,0.6265,0.6018,0.7699,0.541,0.5366,0.6078,0.6503,0.6649,0.6327,0.6295,0.7555,0.7298,0.5652,0.6517,0.0153
256,64,3e-9,16,0.7194,0.7082,0.6795,0.6319,0.6096,0.774,0.5458,0.5382,0.6092,0.6556,0.6759,0.6366,0.6259,0.7557,0.7305,0.5683,0.654,0.0429
256,64,7e-9,16,0.7219,0.7003,0.6875,0.6302,0.6084,0.7736,0.5497,0.5342,0.6167,0.6539,0.6674,0.6347,0.6266,0.7567,0.728,0.5758,0.6541,0.1123
256,64,1e-8,4,0.7191,0.7029,0.6888,0.6255,0.6091,0.7751,0.5477,0.5362,0.6219,0.6571,0.6718,0.6334,0.6357,0.754,0.7261,0.5776,0.6551,0.1513
256,64,1e-8,8,0.7167,0.7004,0.686,0.6267,0.6118,0.7731,0.5486,0.5375,0.6213,0.6582,0.6733,0.6339,0.6275,0.7569,0.7273,0.5765,0.6547,0.1593
256,64,1e-8,16,0.7172,0.7007,0.6862,0.6273,0.6119,0.7744,0.546,0.5393,0.6202,0.6567,0.6719,0.6333,0.628,0.7567,0.7286,0.5755,0.6546,0.1598
256,64,1e-8,32,0.7199,0.7048,0.6884,0.625,0.613,0.7742,0.5508,0.5373,0.6239,0.6562,0.6705,0.6339,0.632,0.7559,0.7264,0.5793,0.6557,0.1503
256,64,1e-8,64,0.7187,0.704,0.6855,0.627,0.6104,0.7739,0.5486,0.5375,0.6217,0.6566,0.6718,0.6336,0.6369,0.7526,0.726,0.577,0.6551,0.1529
256,64,1e-8,128,0.7192,0.7015,0.6881,0.6275,0.6151,0.7731,0.549,0.5337,0.6214,0.657,0.6709,0.6338,0.6286,0.7584,0.7254,0.5798,0.6552,0.164
256,64,3e-8,16,0.7161,0.6917,0.6642,0.6256,0.6109,0.7712,0.5501,0.5389,0.6113,0.6544,0.659,0.6257,0.6353,0.7643,0.7287,0.5646,0.6508,0.4473
256,64,3e-8,32,0.7165,0.6912,0.6642,0.6234,0.6113,0.7725,0.5474,0.5407,0.6114,0.6539,0.6503,0.6287,0.6347,0.7629,0.729,0.5628,0.6501,0.4367
256,64,1e-7,16,0.6523,0.6494,0.608,0.5143,0.5493,0.6888,0.4542,0.4449,0.5296,0.603,0.6379,0.555,0.5432,0.7259,0.6828,0.4127,0.5782,1.2523
256,64,1e-7,32,0.6607,0.6626,0.6053,0.5273,0.5518,0.6982,0.4635,0.453,0.532,0.6086,0.6405,0.5622,0.5594,0.7251,0.6821,0.4245,0.5848,1.2045
